timestamp,symbol,strategy_type,entry_price,stop_loss,take_profit,strategy_score,confidence,risk_level,exit_price,exit_timestamp,pnl,return_pct,duration_minutes,exit_reason
2025-08-16 18:12:16.686649,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:42:16.686650,20.0,2.0,30,timeout
2025-08-16 18:12:32.223010,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:42:32.223011,20.0,2.0,30,timeout
2025-08-16 18:12:46.282032,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:42:46.282033,20.0,2.0,30,timeout
2025-08-16 18:13:00.258947,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:43:00.258949,20.0,2.0,30,timeout
2025-08-16 18:13:14.637003,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:43:14.637004,20.0,2.0,30,timeout
2025-08-16 18:13:28.874914,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:43:28.874916,20.0,2.0,30,timeout
2025-08-16 18:13:42.963231,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:43:42.963233,20.0,2.0,30,timeout
2025-08-16 18:13:57.148475,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:43:57.148476,20.0,2.0,30,timeout
2025-08-16 18:14:11.392676,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:44:11.392677,20.0,2.0,30,timeout
2025-08-16 18:14:25.431162,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:44:25.431163,20.0,2.0,30,timeout
2025-08-16 18:14:40.575359,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:44:40.575361,20.0,2.0,30,timeout
2025-08-16 18:14:55.250662,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:44:55.250664,20.0,2.0,30,timeout
2025-08-16 18:14:59.504555,BTCUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:44:59.504556,20.0,2.0,30,timeout
