timestamp,symbol,strategy_type,entry_price,stop_loss,take_profit,strategy_score,confidence,risk_level,exit_price,exit_timestamp,pnl,return_pct,duration_minutes,exit_reason
2025-08-16 18:21:33.659935,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:51:33.659936,20.0,2.0,30,timeout
2025-08-16 18:21:49.472446,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:51:49.472447,20.0,2.0,30,timeout
2025-08-16 18:22:03.849284,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:52:03.849285,20.0,2.0,30,timeout
2025-08-16 18:22:19.333993,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:52:19.333994,20.0,2.0,30,timeout
2025-08-16 18:22:34.221711,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:52:34.221712,20.0,2.0,30,timeout
2025-08-16 18:22:48.667145,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:52:48.667149,20.0,2.0,30,timeout
2025-08-16 18:23:02.893446,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:53:02.893465,20.0,2.0,30,timeout
2025-08-16 18:23:17.724083,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:53:17.724084,20.0,2.0,30,timeout
2025-08-16 18:23:31.783789,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:53:31.783791,20.0,2.0,30,timeout
2025-08-16 18:23:46.138113,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:53:46.138114,20.0,2.0,30,timeout
2025-08-16 18:24:00.528797,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:54:00.528798,20.0,2.0,30,timeout
2025-08-16 18:24:15.080572,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:54:15.080573,20.0,2.0,30,timeout
2025-08-16 18:24:19.377730,ETHUSDT,breakout,100.0,98.0,104.0,82.0,0.7,low,102.0,2025-08-16 18:54:19.377731,20.0,2.0,30,timeout
